,Tender. No,Description,Procuring_Entity,Proc. Method,Proc. Category,Close Date,Time to Close,Publish Date,Addendum,Days Open,Publish Month
216,KSMCTRL/NGCDF/CSDU/EDU/XAVR/1/2024/25,PROPOSED CONSTRUCTION TO COMPLETION OF 2NO CLASSROOMS ON FIRST FLOOR ONE STOREY AT XAVERIAN PRIMARY SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
217,KSMCTRL/NGCDF/CSDU/EDU/NANGA/1/2024/25,PROPOSED CONSTRUCTION TO COMPLETION OF 2NO CLASSROOMS ON GROUND FLOOR ONE STOREY AT  NANGA PRIMARY SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
218,KSMCTRL/NGCDF/CSDU/EDU/MAGADI /1/2024/25,PROPOSED CONSTRUCTION TO COMPLETION OF 2NO CLASSROOMS ON GROUND FLOOR ONE STOREY AT  MAGADI PRIMARY SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
219,KSMCTRL/NGCDF/CSDU/EDU/KUDHO//2024/25,PROPOSED CONSTRUCTION TO COMPLETION OF 2NO CLASSROOMS ON FIRST FLOOR ONE STOREY AT  KUDHO PRIMARY SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
220,KSMCTRL/NGCDF/CSDU/EDU/KNDL/1/2024/25,PROPOSED RENOVATION TO COMPLETION OF 6NO CLASSROOMS AT KONDELE PRIMARY SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
221,KSMCTRL/NGCDF/CSDU/KSMCTRL/POLICE/1/2024/25,PROPOSED RENOVATION TO COMPLETION OF 17 ROOMED OFFICES AT KISUMU CENTRAL POLICE STATION,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
222,KSMCTRL/NGCDF/CSDU/EDU/KSMBOYS /1/2024/25,PROPOSED CONSTRUCTION OF 200 CAPACITY STUDENT DORMITORY BLOCK ONE STOREY AT KISUMU BOYS HIGH SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
223,KSMCTRL/NGCDF/CSDU/EDU/JOYLANDSP/2024/25,PROPOSED COMPLETION OF 200 STUDENT CAPACITY DORMITORY BLOCK ON GROUND FLOOR ONE STOREY AT  JOYLAND SPECIAL SECONDARY SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
224,KSMCTRL/NGCDF/CSDU/EDU/JOMINO/1/2024/25,PROPOSED CONSTRUCTION TO COMPLETION OF 6NO ROOMED ADMINISTRATION BLOCK  AT  JOEL OMINO SECONDARY SCHOOL,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
225,KSMCTRL/NGCDF/CSDU/KSMDCC/1/2024/25,PROPOSED RENOVATION TO COMPLETION OF 15 ROOMED OFFICES AT KISUMU CENTRAL DEPUTY COUNTY COMMISSIONER,Kisumu Central cdf,Open Tender,Works,2025-07-24,Closes in 9 days,2025-06-24,Addendum added,30.0,2025-06
226,KUR/W/NGCDF/REG/2025-2027,PREQUALIFICATION REGISTRATION OF SUPPLIERS AND CONTRACTORS FOR SUPPLY OF GOODS.WORKS AND PROVISION OF SERVICES FOR THE FINANCIAL YEAR 2025-2027,KURIA WEST NG-CDF,Prequalification,Goods,2025-07-24,Closes in 9 days,2025-07-08,,16.0,2025-07
227,KeNHA/2885/2025,CONSTRUCTION OF UPLANDS – GITHUNGURI – RUIRU (B116) ROAD,Kenya National Highway Authority,Open Tender,Works,2025-07-24,Closes in 10 days,2025-06-24,,30.0,2025-06
228,UGENYA NGCDF/235/2024 2025,"PROPOSED RENOVATION OF THE NDENGA SECONDARY SCHOOL ADMINISTRATION BLOCK, WEST WARD, UGENYA SUB-COUNTY.",Ugenya NG-CDF,Open Tender,Works,2025-07-25,Closes in 10 days,2025-06-30,Addendum added,25.0,2025-06
229,UGENYA NGCDF/234/2024 2025,"PROPOSED RENOVATION OF THE DEPUTY COUNTY COMMISSIONERS OFFICE, UKWALA WARD, UGENYA SUB-COUNTY.",Ugenya NG-CDF,Open Tender,Works,2025-07-25,Closes in 10 days,2025-06-30,Addendum added,25.0,2025-06
230,UGENYA NGCDF/237/2024 2025,"PROPOSED CONSTRUCTION OF HOUSING BLOCK WITH 4 No. BED SITTERS AT BAR OBER POLICE POST, EAST WARD, UGENYA SUB-COUNTY.",Ugenya NG-CDF,Open Tender,Works,2025-07-28,Closes in 13 days,2025-06-30,Addendum added,28.0,2025-06
231,UGENYA NGCDF/236/2024 2025,"PROPOSED CONSTRUCTION OF THE ASSISTANT COUNTY COMMISSIONER’S OFFICE BLOCK, UKWALA DIVISION, UGENYA SUB-COUNTY.",Ugenya NG-CDF,Open Tender,Works,2025-07-28,Closes in 13 days,2025-06-30,Addendum added,28.0,2025-06
232,KR/SCM/143/2024-2025,"INVITATION TO SUBMIT AN EXPRESSION OF INTEREST (EOI) - OPEN INTERNATIONAL BIDDING  FOR   DESIGN AND CONSTRUCTION WORKS OF THE PROPOSED NAIROBI RAILWAY CITY CENTRAL STATION, PUBLIC REALM AND OTHER ASSOCIATED INFRASTRUCTURE WORKS",Kenya Railways,Expression of Interest,Consultancy Services,2025-07-28,Closes in 13 days,2025-06-30,Addendum added,28.0,2025-06
233,KHS/T/40/25/26,"SUPPLY OF TONERS,INK, CARTRIDGES AND SERVICE OF ICT EQUIPMENT",Kwale High School,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-07-09,,19.0,2025-07
234,SABHS/38/2025,PROVISION OF CARWASH AND AUTOMOTIVE SERVICES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
235,SABHS/37/2025,SUPPLY AND DELIVERY OF PETROLEUM PRODUCTS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
236,SABHS/36/2025,SUPPLY AND DELIVERY OF LABORATORY EQUIPMENT,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
237,SABHS/35/2025,SUPPLY AND DELIVERY OF GRINDING SERVICES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
238,SABHS/34/2025,SUPPLY AND DELIVERY OF CONSTRUCTION ITEMS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
239,SABHS/33/2025,SUPPLY OF PROVISION OF SECURITY SERVICES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
240,SABHS/32/2025,SUPPLY OF PROVISION OF COMPREHENSIVE INSURANCE COVERS FOR VEHICLES AND MOTOR BIKES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
241,SABHS/31/2025,"SUPPLY OF REPAIRS OF FURNITURE, HOUSES AND RELATED SERVICES",St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
242,SABHS/30/2025,SUPPLY OF REPAIRS AND MAINTENANCE OF SABHS VEHICLES AND SUPPLY OF TYRES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
243,SABHS/29/2025,"REPAIR AND SERVICE OF COMPUTER MACHINES, PRINTERS AND PHOTOCOPYING MACHINES",St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
244,SABHS/28/2025,PROVISION OF FUMIGATION SERVICES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
245,SABHS/27/2025,PROVISION OF TOILET EMPTYING,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
246,SABHS/26/2025,SUPPLY OF MAINTENANCE OF FIRE FIGHTING EQUIPMENT,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
247,SABHS/25/2025,PROVISION OF PRINTING WORKS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
248,SABHS/24/2025,SUPPLY AND DELIVERY OF EXERCISE BOOKS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
249,SABHS/23/2025,SUPPLY AND DELIVERY OF BEANS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
250,SABHS/22/2025,"SUPPLY AND DELIVERY OF MOTOR FUEL, LUBRICANT AND OILS",St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
251,SABHS/21/2025,"SUPPLY AND DELIVERY OF BRANDED COMPUTERS, LAPTOPS AND RELATED MACHINES",St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
252,SABHS/20/2025,SUPPLY AND DELIVERY OF FRESH MILK,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
253,SABHS/19/2025,SUPPLY AND DELIVERY OF FRESH FRUITS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
254,SABHS/18/2025,SUPPLY AND DELIVERY OF FRESH VEGETABLES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
255,SABHS/17/2025,SUPPLY AND REPAIR OF KITCHEN EQUIPMENT,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
256,SABHS/16/2025,SUPPLY AND DELIVERY OF FIREWOOD,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
257,SABHS/15/2025,SUPPLY AND DELIVERY OF FRESH BREAD,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
258,SABHS/14/2025,SUPPLY AND DELIVERY OF DISINFECTANTS AND DETERGENTS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
259,SABHS/13/2025,SUPPLY AND DELIVERY OF ELECTRICAL MATERIALS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
260,SABHS/12/2025,SUPPLY OF HARDWARE SUPPLIES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
261,SABHS/11/2025,SUPPLY OF BOARDING ITEMS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
262,SABHS/10/2025,SUPPLY AND DELIVERY OF RICE,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
263,SABHS/09/2025,SUPPLY AND DELIVERY OF SUGAR,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
264,SABHS/08/2025,SUPPLY OF STAFF UNIFORMS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
265,SABHS/07/2025,SUPPLY OF GAMES EQUIPMENT AND STUDENTS TRACK SUITS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
266,SABHS/06/2025,SUPPLY AND DELIVERY OF MAIZE,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
267,SABHS/05/2025,SUPPLY AND DELIVERY OF TEXT BOOKS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
268,SABHS/04/2025,SUPPLY AND DELIVERY OF PRINTER CARTRIDGE,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
269,SABHS/03/2025,SUPPLY AND DELIVERY OF STATIONERY,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
270,SABHS/02/2025,SUPPLY AND DELIVERY OF FRESH MEAT,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
271,SABHS/01/2025 -,SUPPLY AND DELIVERY OF HUMAN MEDICINE,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
272,RFQNO. 1355560,SUPPLY AND DELIVERY OF FUEL,Tourism,Framework Agreements,Goods,2025-07-30,Closes in 15 days,2023-07-30,,731.0,2023-07
273,AWWDA/AFD/ NWSP/W-04B/2025,Construction Works for Water and Sanitation in Informal Settlements in Nairobi - Lot 2 Eastern Works,Athi Water Works Development Agency,Open Tender,Works,2025-07-30,Closes in 16 days,2025-05-20,Addendum added,71.0,2025-05
274,AWWDA/AFD/NWSP/W-04A/2025,Construction Works for Water and Sanitation in Informal Settlements in Nairobi - Lot 1 Western Works,Athi Water Works Development Agency,Open Tender,Works,2025-07-30,Closes in 16 days,2025-05-20,Addendum added,71.0,2025-05
275,AWWDA/DSIF/TGWSP/W/01/2025,THIKA AND GITHUNGURI WATER AND SANITATION PROJECT,Athi Water Works Development Agency,Prequalification,Works,2025-07-31,Closes in 16 days,2025-03-25,Addendum added,128.0,2025-03
276,KE-ICTA-441867-GO-RFB,"SUPPLY, DELIVERY, INSTALLATION & COMMISSIONING OF ENTERPRISE CYBER SECURITY TOOLS",ICT Authority,Open Tender,Goods,2025-07-31,Closes in 16 days,2025-06-17,,44.0,2025-06
277,KE-ICTA-482245-GO-RFB,"SUPPLY, DELIVERY AND CONFIGURATION OF ADDITIONAL DIGITAL SIGNATURE CERTIFICATES ON THE EXISTING SYSTEM",ICT Authority,Framework Agreements,Goods,2025-07-31,Closes in 16 days,2025-06-17,,44.0,2025-06
278,KE-ICTA-486639-GO-RFB,"SUPPLY, DELIVERY AND INSTALLATION OF WIFI ROUTERS AND RELATED GOODS FOR 55 UNIVERSITIES AND TVETS IN KENYA",ICT Authority,Open Tender,Goods,2025-07-31,Closes in 16 days,2025-06-17,,44.0,2025-06
279,KE-TURKANA-487460-CW-RFB,"Procurement of Construction, Rehabilitation and  Expansion of Groundwater – Based Rural Water  Supply Schemes - Batch 1 Schemes in Turkana  County   Volume 1 of 3  Lot 1: Lowarengak, Koribok, Kalobeyei, Narimao and Kaitese Schemes.",Turkana County Government,Open Tender,Works,2025-08-01,Closes in 18 days,2025-06-17,,45.0,2025-06
280,KE-TURKANA-488593-CW-RFB,"Procurement of Construction, Rehabilitation and Expansion of Groundwater – Based Rural Water Supply Schemes - Batch 1 Schemes in Turkana  County",Turkana County Government,Open Tender,Works,2025-08-01,Closes in 18 days,2025-06-17,Addendum added,45.0,2025-06
281,TWWDA/AfDB/004/2024-2025,ADDITIONAL WORKS FOR CHUKA AND  CHOGORIA WATER SUPPLY INFRASTRUCTURE,TANA WATER WORKS DEVELOPMENT AGENCY,Open Tender,Works,2025-08-05,Closes in 21 days,2025-06-24,,42.0,2025-06
282,TWWDA/ADB/005/2024-2025,GICHUGU WATER SUPPLY INFRASTRUCTURE,TANA WATER WORKS DEVELOPMENT AGENCY,Open Tender,Works,2025-08-05,Closes in 21 days,2025-06-24,,42.0,2025-06
283,KeRRA/015/NRB/008/39/195/2023-2024,P3617 KIBOGO ROAD,Kenya Rural Roads Authority,Open Tender,Works,2025-08-06,Closes in 23 days,2024-07-25,,377.0,2024-07
284,KE-MARSABIT-489088-CW-RFB,"CONSTRUCTION, REHABILITATION AND EXPANSION OF GROUNDWATER – BASED RURAL WATER SUPPLY SCHEMES - BATCH 1 SCHEMES (LOT 2)",MARSABIT WATER AND SEWERAGE COMPANY,Open Tender,Works,2025-08-08,Closes in 25 days,2025-06-24,,45.0,2025-06
285,KE-MARSABIT-488697-CW-RFB,"CONSTRUCTION, REHABILITATION AND EXPANSION OF GROUNDWATER – BASED RURAL WATER SUPPLY SCHEMES - BATCH 1 SCHEMES (LOT 1)",MARSABIT WATER AND SEWERAGE COMPANY,Open Tender,Works,2025-08-08,Closes in 25 days,2025-06-24,,45.0,2025-06
286,CGKK/PSA/013/2024 - 2025,"REQUEST FOR PROPOSAL (RFP) FOR DESIGN, BUILD, OPERATE AND TRANSFER OF THE COUNTY HEADQUARTERS AND THE COUNTY ASSEMBLY BLOCK FOR THE COUNTY GOVERNMENT OF KAKAMEGA THROUGH   FINANCE – LEASE TO OWN CONTRACT",Kakamega County Government,Open Tender,Consultancy Services,2025-08-18,Closes in a month,2025-05-19,Addendum added,91.0,2025-05
287,KeNHA/R4/325/2024,Routine  Maintenance and  Spot  Improvement of  Aitong - Mara  River (B1) Road,Kenya National Highway Authority,Open Tender,Works,2025-09-01,Closes in 2 months,2024-11-12,Addendum added,293.0,2024-11
288,ADC/1/2024/25,SUPPLY AND DELIVERY OF TRACTORS,Agricultural Development Corporation,Restricted Tendering,Goods,2025-09-12,Closes in 2 months,2025-09-05,,7.0,2025-09
289,ADC/2/2024/25,SUPPLY AND DELIVERY OF TRACTORS,Agricultural Development Corporation,Restricted Tendering,Goods,2025-10-02,Closes in 3 months,2025-09-25,,7.0,2025-09
290,1660286-2024-2025,CONSTRUCTION OF 1 NO ECDE CLASSROOM AT KEBEE AND KOPSIRO PRIMARY SCHOOL IN CHEPYUK WARD,Bungoma County Government,Open Tender,Works,2025-10-09,Closes in 3 months,2024-09-30,,374.0,2024-09
291,KPA/078/2024-25/FS,REPAIRS OF THE FIRE FIGHTING EQUIPMENTS ON BOARD THE FERRIES,Kenya Ports Authority,Open Tender,Works,2025-10-15,Closes in 3 months,2024-09-16,,394.0,2024-09
292,NGCDF/BBC/10/2024-1,PROPOSED CONSTRUCTION TO COMPLETION OF A MODERN KITCHEN IN MOSENSEMA SECONDARY SCHOOL.,BOMACHOGE BORABU NG-CDF,Open Tender,Works,2025-10-27,Closes in 3 months,2024-10-02,,390.0,2024-10
293,SCG/T/09/2024-2025,SUPPLY AND DELIVERY OF CERTIFIED MAIZE,Samburu County Government,Open Tender,Goods,2025-10-29,Closes in 3 months,2024-10-22,,372.0,2024-10
294,MBT/002/FA6/2024-2025/2025-2026,"SUPPLY AND DELIVERY OF FUEL, OIL, PETROL AND LUBRICANTS",Marsabit County Government,Framework Agreements,Goods,2025-11-12,Closes in 4 months,2024-11-12,,365.0,2024-11
295,MBT/COU/T/FA/6/2024-2025/2026,"SUPPLY AND DELIVERY OF FUEL, OIL, PETROL AND LUBRICANTS. (FRAMEWORK AGREEMENT FOR 2 YEARS)",Marsabit County Government,Framework Agreements,Goods,2025-11-14,Closes in 4 months,2024-11-12,,367.0,2024-11
296,MBT/004/F.A 6/2024-2025,"SUPPLY AND DELIVERY OF FUEL, OIL, PETROL, AND LUBRICANTS",Marsabit County Government,Framework Agreements,Goods,2025-11-14,Closes in 4 months,2024-11-01,,378.0,2024-11
297,KE-WAJWASCO-456993-CW-RFB,Construction of Faecal Sludge Treatment Plant for Wajir Town,Wajir County Government,Open Tender,Works,2025-11-21,Closes in 4 months,2024-10-25,,392.0,2024-10
298,Quotation No. NMK/71/24/25,Provision of provisional writer,National Museums of Kenya,Request for Proposals,Consultancy Services,2025-11-28,Closes in 4 months,2024-11-22,,371.0,2024-11
299,KTB/RFQ/0135/2024-2025,BRANDED S-BANNERS,Kenya Tourism Board,Request for Proposals,Non Consultancy Services,2025-12-02,Closes in 5 months,2025-10-02,,61.0,2025-10
300,NCC/WDP/T/217/2024-2025 COSTRUCTION  OF GLUCOLA GONGA NJAA BRIDGE ROAD IN BABA DOGO WARD,CONSTRUCTION OF GLUCOLA GONGS NJAA BRIDGE ROAD IN BABA  DOGO WARD,Nairobi County Government,Open Tender,Works,2025-12-05,Closes in 5 months,2024-11-26,,374.0,2024-11
301,1690544-2024/2025,Road improvement works along wahome road in rurii ward,Nyandarua County Government,Open Tender,Works,2025-12-08,Closes in 5 months,2024-12-20,,353.0,2024-12
302,KeRRA/BSA/08/39/082/24-25,ROUTINE MAINTENANCE & SPOT IMPROVEMENT OF APPOLONEAS - MUNGATSI,Kenya Rural Roads Authority,Open Tender,Works,2025-12-09,Closes in 5 months,2024-11-21,,383.0,2024-11
303,ktti/sr/16/2025/2026,"supply and delivery of office furniture,fittings,office equipment",KIPSINENDE TECHNICAL AND VOCATIONAL COLLEGE,Open Tender,Goods,2025-12-09,Closes in 5 months,2025-06-18,,174.0,2025-06
304,KERRA/MRU/08/39/093/2-24-24/25-093,MUGUMONE PRY - KIOLO KIA NDIRIA - ST PETER,Kenya Rural Roads Authority,Open Tender,Works,2025-12-19,Closes in 5 months,2024-11-21,,393.0,2024-11
305,ATTI/PROC/01/2025/2026-2026/2027,SUPPLY AND DELIVERY OF STATIONERY,Aldai technical training institute,Prequalification,Goods,2025-12-19,Closes in 5 months,2025-06-04,,198.0,2025-06
